用户名,内容
陈思炜,
Dr.X,除了考研，你跟的风还少么？跟风股市，跟风买房，跟风相亲，跟风出国，跟风上辅导班，跟风买奢侈品。其实你不知道自己要的是什么，不跟风，你知道怎么生活么？
匿名用户,歪个楼，说真的，我考研，是因为24年了还是单身，工作了一年感觉今后只能走相亲之路还是想回学校再碰碰运气。。。然后今年考上了。。。是不是考研界里的一股泥石流。唉，悲伤的故事。（以上是考研的主原因之一，其他原因有些答主说了不重复了）
李文强,总的来说，考研只有两种。一种是知道自己为什么考研。一种是不知道自己为什么考研。前者，知道自己考研的，如为了学术、准备在政界大展身手等等，那就尽快、努力、加油。对于这类人来说，考研是他自己主动做出的选择，即使研究生出来过得不如意，他也会承担自己选择的后果，不会怨天尤人。且主动选择的人，他目的性是很强的，心想事成的概率往往比平庸的概率要大得多。后者，不知道自己考研的，这类人最好早点停止考研，去社会打拼。无意识考研，逃避社会竞争而选择的考研，只是把自己的竞争压力往后推了三年，通过考研混了三年后，再去社会上依然会面临竞争，三年前从学校出来的那些同龄人，即使现在没有站稳脚跟，技能上也相当熟练了，而自己在学校里混了三年后什么都没有，还得从零开始，相比较有竞争力的同龄人，那时候很容易活成一个怨妇，怨天尤人。知乎里那些劝人考研的，怎么说呢，有点危险，万一别人听你的，考研之后出来过得不如意，那些人会恨你的...
浪迹天涯,没邀，强入，来一答！滨州某高校！不知道大家听没有听说过，坐落在山东滨州市，孙子故都！（背景交代完了）我们系的考研报考率为100%不要震惊，就是这么牛考研学生，有，考研自习室，考研宿舍楼，考研导师，考研光荣榜，考研心理咨询！你如果不报名，不去考研你就拿不到学分6分，（你就需要自己大公司实习，必须完成实习，获得优良成绩！参加系里要求的各种规定，总之你会很难过！有的系院甚至出通报，穿小鞋！）你如果不报名，导员书记科长都会找你喝咖啡，多么负责，多么尽力！多么伟大！但是，考研每个系院都有指标，也就是所谓的考研率，有的系院甚至鼓励学生去报考难度小，好学校的冷门专业（理工大学的文科）偏远地区的二本院校，只要你能去上研究生你就是好学生，你就是有了前途有了未来！一个班里30人，8个同学考上，6个去了云南（无贬低之意）普通二本院校，难道这样真的就有了老师们口中所谓的前途了吗？老师们，我知道你们也有学校上层的压力。但是拍着良心说，如果你的孩子在这里上学，你也会这样激烈他去读一所普通的学校吗？有的还是非全日制！我知道很多老师都是善良的，有指标在身上也没有办法，我相信，始作俑者还是学校的高层领导！真想去你办公室，甩你两个耳光！你真的考虑过学生吗？说明下，我不是不支持考研！不是不支持！我觉得考研不考研都是一种选择，应该是建立在自己进行自我评估的基层上，觉得自己想去深造就好好去考，考名校，好专业！而不是因为学校大力鼓励，盲目跟风，我真的看不起这样的学生，更痛恶这样的学校！学生每个人的选择难道不值得被尊重吗？人家不想考，你非得让人家去考，不考研就不是好学生，考上研就是好学生，你不觉得这样的风气很恶心吗？如果你觉得你想起点高，学历高，想去读研那就去考，总之不要违背自己的心，如果你因为毕业没有出路逃避现实，去考研，我告诉你，你就算读到博士，你也不行！再次声明，我支持有想法的考研，嫌弃跟风考研！痛恶那些为了给学校创造所谓的“特色”而兴风作浪的假好人！
知乎用户,老实说，我觉得读博都开始跟风了，这种奇怪的风怎么刮起来的呢？失败专业的失败人士不想直接面对失败的暂时自我麻醉。大学结束的时候很多人意识到了即将失败，作为缓冲，读研。很多时候读研就是混了一纸文凭，读博也无法从根本上扭转失败到成功，最多是正常化了。某些专业本科毕业直接工作则是巨大落差，待遇低到爆，感觉自己像高中生，所学基本跟工作无关。这种碾压感，很多人受不了读研读博比例最高的就是，生化材环，而ee cs比例就大大降低了。不处理实际问题，天天在comfort zone里背书的方式只能靠一张文凭混口饭吃，拿张门票去社会大学重新学吃饭的本事。
清月,我从上大学的第一天就告诉自己：我绝对不考研，上学这件事就到此为止了，小学，初中，高中，整整18年都要被成绩定义，我要活出自己想要的样子。不知道有多少人和我一样？但是，我知道并不是我一个人这样想一.为什么那么多人考研？1.逃避我有一次我问室友为什么考研，她说：再多一年的思考时间，因为我不知道自己想干什么。她的成绩很好，总是名列前茅，但是她对自己的未来一点规划都没有。很多人借着考研拖延就业，缓解压力，但是如果不清晰考研的目标，很快就会丧失动力，尽管上岸还是会继续迷茫。2.安稳很多大厂实施996，007的工作机制，在近年疫情的影响下，大批公司进行裁员，企业的劳累性和不稳定性，促使公务员，教师，考研变得异常火热，与其冒着猝死和失业的风险，还不如安安稳稳的吃个国家饭。3.攀比别人能考上，那我也能考上，我又不比他差要知道，从上大学开始就不能再用“比别人多几分”去衡量一个人的能力了，差生往往混的更加风生水起。4.盲从看看隔壁XX，人家研究生毕业，月薪好几万，你考上也就享福啦家里人经常会这样讲，这种盲从的心理从小到大一直跟随着我们。大家应该都玩过传声筒的游戏，有些话经过张大妈，李奶奶，刘大爷……传过几遍之后就与原来的版本有所不同了，所以还是要遵从自己内心的选择。二.现实是什么样的呢？很多人考研其实是充当分母的，他们在图书馆睡觉，占座，打游戏，营造出学习的假象。你想一想啊，有些人在大学平时上课睡觉，期末挂科，但有的人呢，拿奖学金，参加各种比赛……机会是留给有准备的人的。很多人没有认清自己的能力，大学的考试机会太少了，已经让人忘却了自己与别人的差距。上了大学，竞争的维度就变了，不单单是用分数去定义谁，而是通过学习能力，个人技能，认知思维……等等纬度去评判如果还停留在“唯分数论”的阶段，那大学也真的就是我们的象牙塔，走到社会上还是会面临失败。本科生，专科生，甚至小学没毕业的人，他们可能会更牛逼，也许研究生毕业之后还要为他们打工。这就说明其实每个人都有不同的道路，并非考研这一条路可以走，主要还是看个人的能力，勇气，求知精神。三.如何在考研与不考研之间抉择？《乌合之众》里面有这样一句话：人一到群体中，智商就严重降低，为了获得认同，个体愿意抛弃是非，用智商去换取那份让人备感安全的归属感。如果想决策的话，就关闭一切的信息来源，拿出一张纸分析有关考研的利与弊考研我能得到什么？考研我需要付出什么？我如何规划考研进度？如果考不上，我有什么对策？……把这些东西都想明白之后再去做决策。大学四年的试错成本是非常低的，我们可以去探索自己没有探索过的领域，比如说理财，写作，直播，短视频……保不准哪个就歪打正着，成为就业的资本了。世人皆醉，唯我独醒只有看清自己内心真正想要的东西，才愿意为之付出120％的努力，这样怎么会不成功呢？我是清月一个立志于终身成长的宝藏学姐码字不易，点个赞赞再走吧～
希声,从医学生的角度来说吧，其实跟规培有极大的关系专硕是带规培证的以前可能因为家庭或者其他原因，很多医学生会选择本科毕业就工作，因为县级医院就足够了，现在无论是考研还是直接工作，都要去规培三年，反正一样的规培，读个研还能多两张证，为什么不呢？而且学历越高，晋升的时间也就越短，身边的人够考研了，起步变高，那么自己也不能落下，所以就都考了不得不说国家规培正常真是一步好棋，其一筛选了一遍，让那些受不了较低待遇的人自己离开，还增加了剩下的人的沉没成本；其二毫无疑问，提高了一代人的专业水平；其三，解决了医院劳动力不足又不想花钱的问题也感谢规培政策，要不是有那么多规培生，去年实习的时候请假医院哪有那么干脆
苏阐伍,考研只是一个手段，想要活的更好才是目的。三本的学生偶然间知道一本的校风不错，二本的盯着非双一流学校的重点专业，一本的学生觉得没能上985、211太遗憾，985 211的想更加深造自己努力做出成绩去了国外或c9。不管最后结果好坏与否，起码心里扎了个梦。如果起点低，如想要过得更好一些，必须得有点想法，再奋斗奋斗，也许就成了？大概是为了遇到学校的姑娘们更好？你看那些读研的姑娘，她们成熟又青春，在你去实验室的时候，结伴从你身边而过，你瞪大了眼睛然后别了一句:“握草！”大概是为了拾掇拾掇学历？“XX学院”“X市大学”你总感觉写在简历上分量太轻，压不住脚，拿出去还没放就风吹跑了。喜欢个姑娘，人家那么优秀，总觉得有点配不上，怎么办，想尽办法，脑袋一拍“得，考研”一鼓作气。大概是为了不想离开对象？明知两人毕业天各一方，宁愿咬着牙碎考入她那里，也不愿在分手的时候心碎，“爱情最美的样子是心碎？”去他丫的，老子不听！大概单纯就为了继续上学，不想接触社会？这都好，每个人的意愿都应该自我尊重，又有什么不可？考研呗，自己选的路，走下去，倒也不会后悔。大概有很多理由，大概也就那么一两个理由，考研么，跟风就跟风吧，带上点原因，放心去考，失败了也不打紧，毕竟哪怕失败了也是“我已经”而不是“我本可以”，那得多遗憾啊。别想太复杂，也不用想太多，就这么回事儿了。
请勿关注,这个必须要说，我以前的同事，那是大概十几年的事了，他是哈工大毕业的，女朋友是吉林大学毕业的，毕业后两个人就开始考研，考了三次都没考上，家里实在没钱支持了，他的哥哥甚至因为他的事推迟了婚期。之后无奈上班了，但是每年还是继续考研，有一年甚至要我替他出差好去考研，害得我也被单位批评。他一共考了9次也没考上，他女朋友考了7次，考上了深圳一个大学。因为他执着于考研了，有一次我问他为什么，他说了一个事。他的一个同学考研，一次就考上了，之后在差一年毕业的时候就被一家大公司选上，当年留给20万年薪，一套房子，一台奥迪。所以这个同事说只要考上研之前耽误的一切都能抢回来，这是他的理由。我对这个深表怀疑，即便是真的我想也有太多内幕，就算是没有任何内部，那他口中的同学的能力绝对超出他百倍。这个同事为了考研在上班三年后辞职专心复习，过年没钱回家，跟女朋友在出租屋里煮大白菜吃，还是我知道了给了他们一千块，还带他们吃了一次金钱豹。第二年他女朋友做手术，没钱找我借，我替他给了所有的钱，还有后几个月的生活费。他女朋友考上了深圳的学校，他也跟过去了，之后就跟我断了任何联系，过年我给他发个信息也从没有回过。
奶糖葫芦球,当时家里也是让考研，自己也迷茫，大学四年玩过来的，实话说，没什么规划。班里当时三分之一考研，三分之一留学，三分之一工作。我就做了那个考研的，拼……没怎么拼，水着来的，也在学校呆了一个暑假。没有悬念的没考上，我也不想学了，那就工作吧。错过了秋招，我的学校在南方，我要回家在北方，来学校招我们那个城市的很少。后来一直在家找工作，跑面试，最后工作了。差强人意，但是一直工作上升空间还是有的但有限。工作遇见了一帮特别铁的兄弟姐妹，但工作有时候还是会不顺心，更多的时候还是会想，我真的要在这一辈子吗？我不想，所以我当时很恐慌。不止一次想考研这件事，但我没勇气，我怕爸妈不理解。后来六月份，我的合同签了一年，到七月底，六月份的时候我又一次想到了考研，但我这次没有只是想想，那次特别冲动，觉得心里有一团火在烧着，觉得就这一次，失败了就安心工作。当时在青岛租房子，跟我爸妈发了一条长短信，说了很肺腑的一番话。很紧张，之后跑去洗澡，回来看见手机还是没有回复，就有点忐忑了，没过多久我爸打电话来了，他们支持我考研。我一直很感激我父母，虽然有时候传统家长的作风他们都有一些，但真的遇到事的时候，很开明，很尊重我。后来合同到期，八月一号，我爸妈接我回家，开始了考研路。然后现在，我无比庆幸我当时一时冲动做的决定。没有那次决定，没有我爸妈的支持，我不会再回到校园。但我依然觉得，人总要自己闯闯才能下决心的，别人说再多，不如你试一试，总归还年轻，总归选择还很多。
