用户昵称,商品id,评分,商品尺寸,商品颜色,评论时间,评论内容,评论类型
酸***酸,16003114018,5,80升,【新品首发】电子镁棒零电洗,2021-07-18 17:10:14,性价比超级的高  安装速度很快  师傅非常的专业  速度很快  很满意 。京东配送的很快，速度很好  继续相信美的家电  加油,pos
G***h,16569170490,5,60升,??【黑科技】电子镁棒零电洗,2021-11-03 20:54:10,师傅安装的很好，解答问题也很耐心，产品检查合格，还有智能控制，非常方便，一切都非常！,pos
落***落,14649153953,5,60升,【奢华净浴】除氯净水护发柔肤,2020-09-16 15:48:35,高端大气上档次，性价比高，热水器很好看，功能很多，新品福利多，礼品多，还送一年京东会员，超值京东物流一如既往的快，太棒了,pos
r***y,15290516726,5,60升,【新品首发】电子镁棒零电洗,2021-02-04 12:15:33,外形外观：外形美观 加热速度：看着温度显示，加热挺快的 耗能情况：刚装上去还不清楚，后续再评 其他特色：安装师傅速度很快，很专业,pos
****l,16615205549,5,60升,??【黑科技】电子镁棒零电洗,2021-11-10 22:24:45,外形好看，屏幕高大上，一级能效，电子镁棒，还能连手机控制，十分方便，还有出水断电功能十分安全。,pos
****8,15008304619,5,60升,【新品首发】电子镁棒零电洗,2020-12-06 18:54:41,热水器收到已安装好，外观设计漂亮，加热速度很快，功能很好，安装服务人员很热情，安装配件收费小贵但还能接受，暂时不用，其它功能以后再追评。感谢京东！,pos
余***h,16635930237,5,60升,??【黑科技】电子镁棒零电洗,2021-11-13 18:11:06,卖家发货非常快，产品质量有保证。送货师傅态度很好，安装师傅很专业很有耐心！安装准时，态度好，很愉快的一次购物 外形外观：高大上 加热速度：很快 其他特色：好用,pos
****4,16525161920,5,60升,【内胆免清洗】电子镁棒零电洗,2021-10-27 09:44:00,物流很快！安装师傅很给力！特意用了十天以后才来评价，总体来说都好，值得大家入手！,pos
婷***妖,15378895268,5,60升,【新品首发】电子镁棒零电洗,2021-03-04 10:45:25,外观非常漂亮，白色不扎眼，功能这块暂时还没用，不太清楚，不过安装师傅说这款热水器挺好，安装师傅很用心，装的很仔细，安的的也非常完美，特别好,pos
雷***空,14826650227,5,60升,【高端旗舰】电子镁棒即开即热,2020-11-01 21:12:57,点抢购，相当划算，外形设计很赞?，控制方式很多，能用遥控器，手机都能控制。京东快递不是一般的快，点下单，下午点不到就收到了，为京东快递点个赞?！,pos
****x,16586830425,5,80升,??【黑科技】电子镁棒零电洗,2021-11-06 15:48:37,热水器价格实惠，家里人多买的的，颜值也高，很不错，用用再来评价。值得购买呦,pos
A***r,15074509017,3,60升,【高端旗舰】电子镁棒即开即热,2020-12-20 22:29:27,一般吧，而且安装费用不便宜,pos
v***纵,15255942615,5,80升,【新品首发】电子镁棒零电洗,2021-01-27 12:32:32,很好，看中电子镁棒，不用更换，额定功率，在广东的水温下，热的很快，还能预约定时开关机，家里很多电器都是美的的，可以，支持国货,pos
****1,16580288130,5,60升,【高端旗舰】电子镁棒涡旋速热,2021-11-05 14:27:04,颜值很高，很喜欢的一件东西。安装师傅也很到位安装的很好,pos
熊***淘,15788984116,5,60升,【新品首发】电子镁棒零电洗,2021-06-10 16:15:26,东东质量很好，电子镁棒可以不结垢，还免换镁棒省心省事，安装师傅很熟练，一会儿就安装完了，下次还买美的电器，大品牌信得过，京东好评,pos
*****,16459803255,5,60升,【极地套系】电子镁棒免清洗,2021-10-14 12:24:31,非常满意，美的产品值得信赖，支持京东，正品保证。师傅服务也很好，很贴心，态度很好。,pos
天***S,16642624771,5,60升,??【黑科技】电子镁棒零电洗,2021-11-14 17:24:16,热水器很好，服务很好，到货速度很快，整体很满意。。。,pos
****k,15713472817,5,60升,【新品首发】电子镁棒零电洗,2021-05-24 17:52:30,外形外观：外观漂亮 耗能情况：耗能低 加热速度：加热速度很快，节省很多时间 其他特色：可以遥控，非常便捷,pos
夜***寐,14686340141,5,60升,【新品首发】电子镁棒零电洗,2020-09-26 14:09:16,外形外观：清爽大方，白色， 加热速度：很快，自己可以调节-加热速度 耗能情况：一技能效，节能省电。,pos
玲***买,16586425866,5,60升,【高端旗舰】电子镁棒涡旋速热,2021-11-06 14:41:13,产品美观，质量好，安装预约快，客服耐心，安装满意！ 家里空间有限，安装师傅很负责的给规划好了怎么安装，全程服务态度好，非常棒！,pos
****b,16470814776,5,60升,【内胆免清洗】电子镁棒零电洗,2021-10-16 14:58:56,热水器质量不错，很好用，有了它随时都有热水很方便。,neg
行***风,14648478217,5,60升,【奢华净浴】除氯净水护发柔肤,2020-09-16 12:42:20,外形外观：非常高端大气，好看 加热速度：速度快，用的很方便 其他特色：安装师傅非常专业，服务非常好，特别优秀，热水器很好 耗能情况：节能好用,pos
****l,16590766736,5,60升,??【黑科技】电子镁棒零电洗,2021-11-07 10:08:26,安装很快，联网很方便，很满意，价格很实惠，把家里年的老美的换掉了。,pos
****Y,16611949207,5,80升,【奢华净浴】除氯净水护发柔肤,2021-11-10 14:23:48,物流很快，服务也特别好，因为房子还没装好，暂时不安装，师傅让存了电话说后期随时联系上门安装，收到货后出乎意料，这个颜色简直爱了，太好看了，比普通白色更上档次，升大容量完完全全够了，而且还是智能的，用起来应该会更方，后期安装使用再来追评，大牌子，还是值得信赖。,pos
m***3,16641310487,5,60升,【高端旗舰】电子镁棒涡旋速热,2021-11-14 14:39:53,双十一活动，电子镁棒不用担心，换镁棒的问题，还有杀菌的功能，智能联网，真的是太方便了，回家前提前烧水，回到家马上洗澡，师傅安装到位,pos
a***0,16095299657,5,80升,【新品首发】电子镁棒零电洗,2021-08-05 20:38:38,热水器是升的，够两个人洗澡用的了，价格也不贵，美的大牌子，是李现做广告的牌子，还赠送了一个小厨宝，安装师傅也很好，预约安装非常方便,pos
u***l,16639457413,5,60升,??【黑科技】电子镁棒零电洗,2021-11-14 10:09:05,安装服务好，非常满意安装服务好，非常满意,pos
王***8,16163993082,5,60升,【新品首发】电子镁棒零电洗,2021-08-19 20:02:03,外形外观：外观很漂亮，大小合适，出水自动断电，安全有保障。快递小哥也很给力，非常满意。,pos
****c,16647546434,5,60升,??【黑科技】电子镁棒零电洗,2021-11-15 10:37:15,美的（）升电热水器，好品牌，好质量，外观优雅大方，白色外套与我的浴室搭配完美，货美价廉，值得拥有！,pos
p***r,15057170800,5,60升,【新品首发】电子镁棒零电洗,2020-12-17 00:09:23,外形外观：外观好看，新品，免换镁棒，省心省力 加热速度：小时打开，保温效果很好，加热速度很快 洗浴时间：够个人洗了，热水不够的时候还可以极速加热 其他特色：安装师傅手艺很好,pos
y***3,15594990129,5,80升,【奢华净浴】除氯净水护发柔肤,2021-04-24 07:38:40,外观大气，颜色上档次，大屏显示也是非常漂亮，京东服务也是非常不错，从送货的速度和态度来看都是完美的，安装师傅服务也是非常不错，主动询问发现耗材免费，帮我省了耗材费用，家电选择京东绝对没毛病！,pos
****9,14857453422,5,60升,【新品首发】电子镁棒零电洗,2020-11-07 15:09:04,售后很好很热情，美的高大上值得信赖，家里电器都是美的的?,pos
3***8,15899375610,5,60升,【高端旗舰】电子镁棒即开即热,2021-07-01 03:31:12,希望我们以后有更多的交易吧，选项还多，很人性化，给五星好评，很有质感特别漂亮，服务也好当天就收到了，忍不住先来评价了，很满意的一次购物宝贝很大气，大品牌就是不一样宝贝心仪很久了，质量杠杠的，非常好，超贴心的设计啊，不孬，才好，外观漂亮简洁大方，赞，发货迅速，态度很好，摸起来质量还不错，配送师傅也很负责，装好试用半个月了，噪音很小，性价比高，,pos
恒***行,15844073310,5,60升,【新品首发】电子镁棒零电洗,2021-06-21 10:47:23,货收到了，物流很快，因为还没装修好，暂时无法安装。棒！,pos
宿***3,15913521158,5,60升,【高端旗舰】电子镁棒即开即热,2021-07-03 07:09:48,高大尚得感觉，之前一个美的热水器用了十多年，质量很好，支持国产，,pos
我***1,15039096040,5,60升,【新品首发】电子镁棒零电洗,2020-12-13 13:39:35,外形外观：外观漂亮，高端大气上档次 加热速度：瓦分钟加热度左右吧 耗能情况：正常级能效 洗浴时间：还没有用，后期来评价 其他特色：送货快当天到达，安装快第二天安装完成，客服耐心解释问题，全星好评,pos
千***叶,15851025897,5,60升,【高端旗舰】电子镁棒即开即热,2021-06-22 13:55:20,京东送货很快，安装师傅技术很好，服务规范，热水器安装走线规则，十分满意这次购物。京东活动优惠，一直京东购物，十分好的一次购物体验。,pos
****o,15749684391,5,60升,【奢华净浴】除氯净水护发柔肤,2021-06-02 14:37:40,新家装修，看热水器看了好久，最后决定还是选择电子镁棒健康免清洗美的()型号热水器，下单当天就送到我手里，第二天美的专业师傅就联系我跟我预约时间，由于我的问题，今天才安装完成，美的安装师傅简直太专业了，帮我避免了很多灰尘，并且第一时间带上了鞋套，给美的师傅好评。美的客服也很尽心尽责。热水器等进一步使用够来追加好评。,pos
****2,16733342534,5,60升,??【黑科技】电子镁棒零电洗,2021-11-27 21:25:59,棒棒的，双十一期间，送货虽然有点慢，师傅上门也很快，服务态度很好，安装很耐心讲解，款式也好看,pos
念***头,14463696808,5,60升,【高端旗舰】电子镁棒即开即热,2020-07-27 12:31:42,外形外观：金色的机身看上去和高大上。渐变的屏幕看上去很漂亮，超喜欢的。 加热速度：因为家里正在装修，还没有使用，只是通电试了试。,pos
q***o,16670331438,5,60升,??【黑科技】电子镁棒零电洗,2021-11-17 10:43:23,东西不错，大品牌值得信赖，物流给力，安装也不错，活动优惠力度很大，值得购买！,pos
****s,16561244753,5,60升,??【黑科技】电子镁棒零电洗,2021-11-02 18:46:33,家里很多电器都是美的的，这次买热水器依然选择美的，京东物流第二天就送到了，隔天就上门给安装好了，给物流和售后点赞?,pos
我***诶,15216749365,5,60升,【新品首发】电子镁棒零电洗,2021-01-18 15:22:15,很智能功能齐全，外观高端大气，比较喜欢这个出水断电功能家里没有地线，一直不放心,pos
k***1,16627838595,5,60升,【极地套系】电子镁棒免清洗,2021-11-12 15:38:53,非常智能的一款热水器 外观美观大方 加热速度很快,pos
w***5,15277186315,5,80升,【新品首发】电子镁棒零电洗,2021-02-01 11:00:33,正品店铺，放心购买，客服态度也很，整个购物过程非常顺利！下次还会再来的！赞！非常不错，质量超好，颜值又高?  颜值高又实用，超级喜欢！性价比很高，很实惠，使用起来感觉很好，非常完美.^?^.???,pos
w***8,16586017574,5,60升,??【黑科技】电子镁棒零电洗,2021-11-06 13:26:44,号当晚付的尾款第二天中午就到了。速度真的超级快。下午客服就打电话来预约安装。安装的小哥态度也很好，因为电路问题要等电工排完才能用，小哥也留了电话有任何问题可以继续找他。给美的点个赞。正式使用之后我在看情况追加评论。,pos
a***e,14937918701,5,60升,【新品首发】电子镁棒零电洗,2020-11-20 19:36:35,外形外观：经典外观，大显示很清晰易操作 加热速度：有快速的变频速热模式，在现在的广东气温下没得说，快赶上即热式的了 耗能情况：这两天气温度，三个人用，设置度，一天，度电吧 其他特色：出水断电让人安心不少，美居的功能也很赞，可以定时开关，省了不少事，一段时间后再试试云省电看看有没用,pos
秋***鴻,14994693936,5,60升,【新品首发】电子镁棒零电洗,2020-12-03 13:46:05,外形外观：很好看 加热速度：变频加热很快 耗能情况：一天一洗，度电 洗浴时间：分钟，够两个人,pos
让***动,16569851279,5,60升,【超级新品】电子镁棒涡旋速热,2021-11-03 22:37:14,非常好，功能很全，早上送到后打电话预约安装，下午师傅就到了，装好后很完美！,pos
呆***9,15270509762,5,60升,【新品首发】电子镁棒零电洗,2021-01-30 18:43:09,很方便的一款热水器，远程控制，功能超乎你想象，保温效果也好，一天了还有热水，很满意，家里人也说好用方便，价格也很亲民，大赞！,pos
不***果,15582824150,5,60升,【新品首发】电子镁棒零电洗,2021-04-20 21:12:48,热水器真的非常好，非常好用，方便快捷，京东物流杠杠的!而且还有师傅专门上门安装，省去了很多麻烦事。热水器外观好好看，一眼就被它的颜值吸引了。而且加热功能很好，烧水很快速。,pos
****5,16467561485,5,60升,【内胆免清洗】电子镁棒零电洗,2021-10-15 21:15:56,冬天来了 气温骤降 连着下了好几天雨?? 北方的暖气还没有送上 家里还是挺冷的 搬了新家  预报说过两天气温还会降 果断入手 热水器还是选择美的 一直都在用没有啥问题 价钱也可以比起史密斯便宜不少 性价比高 这次选择电子镁棒 京东自营的东西品质质量还是有保障的 最后现在了这个款式 看着颜值也大气 物有所值 用几天感觉不错下次还会入手 京东物流也是杠杠的 昨天下单今天就到了 售后安装师傅专业 没有给提供人字梯自己想办法给解决了 墙上钻孔有收灰尘袋子 鞋套 很专业 收费也是按照标准 不错,pos
d***1,16294209195,5,60升,【新品首发】电子镁棒零电洗,2021-09-12 21:00:52,外观干净漂亮，做工很不错，没发现什么瑕疵，个人感觉大小也挺合适，找了很久选的这款，大爱！安装师傅服务特别好，安装完之后垃圾全部收拾干净,pos
蔓***y,16730890516,5,60升,【极地套系】电子镁棒免清洗,2021-11-27 13:48:44,安装师傅很用心，款式比较好看。家用比较好,pos
安***-,14626406052,5,60升,【高端旗舰】电子镁棒即开即热,2020-09-10 12:55:14,外形外观：外形和颜色都很喜欢 加热速度：加热速度很快 耗能情况：省电级 洗浴时间：洗澡热水用不完,pos
****0,14833717391,5,60升,【新品首发】电子镁棒零电洗,2020-11-03 07:47:57,热水器高端大气上档次，下单到发货到手三天时间，非常迅速，购买第二台了，很耐看，加热迅速，电子镁棒，能耗低，给三四个人洗澡够用，价格给力，相信美的品牌。,pos
R***d,15067480767,5,60升,【鸿蒙智联】除氯净水护发柔肤,2020-12-19 11:57:13,"这款美的-()电热水器挺好的，做工挺好的,大品牌！美的-()鸿蒙性价比也蛮高的。个人感觉美的-()真的好的，热水器还是很不错，加热声音很小，安装会提前预约上门安装，师父态度好，热水器能对得起美的这个老牌子，用久点总体来说价格还是比较划算的，而且有优惠券的，选择入手不后悔！！",neg
****c,15830246345,5,80升,【高端旗舰】电子镁棒即开即热,2021-06-18 22:41:21,热水器外观好看，简约而大气，性能也很好，电子镁棒加热还能自动清洗，出水量也挺好，热水速度快，一次够三四个人洗澡，特别满意的一次购物,pos
请***点,16649192790,5,60升,??【黑科技】电子镁棒零电洗,2021-11-15 14:15:37,外形外观：白色跟我家瓷砖颜色比较搭配。 美的嘛，大品牌，主要是不用换镁棒这点很好，省的麻烦了，加热嘛都那样，能热就行。,pos
****杨,15813528914,5,80升,【新品首发】电子镁棒零电洗,2021-06-16 08:58:53,大品牌值得信赖，水热的很快，保温效果很好，而且是自动续水的，非常满意，安装师傅很专业细心，总体来说满意。,pos
m***8,15387600920,5,60升,【新品首发】电子镁棒零电洗,2021-03-06 13:29:11,热水器外观不错，功能可以，能联网不用换镁棒很好，安装师傅上门时间准，安装仔细，好评,pos
P***光,14165926151,5,80升,【高端旗舰】电子镁棒即开即热,2020-05-18 10:50:35,快递服务很好，服务态度很好。热水器外形漂亮高档，开水断电，免清洗免换镁棒，功能实用非常好，手机监测控制。,pos
c***6,15385692649,5,60升,【新品首发】电子镁棒零电洗,2021-03-05 21:57:49,美的买的新款，出水断电功能安全性很高。水容量挺大的，冬天一桶水省着点差不多可以洗两个人。京东物流真的好，改期后配送物流还反复确认送货时间。美的安装师傅人也超好的，安装专业。,pos
魏***羡,16581672482,5,80升,【高端旗舰】电子镁棒涡旋速热,2021-11-05 17:55:38,"热水器外观好看，简约而大气，性能也很好,电子镁棒加热还能自动清洗，出水量也挺好，热水速度快，- -次够三四个人洗澡，特别满意的一-次购物 快递服务很好，服务态度很好。开水断电，免清洗免换镁棒，功能实用非常好，手机监测控制。",pos
彩***-,14902107044,5,60升,【新品首发】电子镁棒零电洗,2020-11-14 18:25:02,外形外观：时尚 加热速度：很快 耗能情况：节能 洗浴时间：很长 其他特色：变频  产品很好，用美的的空调、抽烟机、煤气灶、热水器、电饭锅、电磁炉、平底锅，以后会接着买电冰箱、洗衣机，美的品牌，值得信赖！ 售后服务也很不错，很人性化，态度很好！,pos
c***1,16344288992,5,60升,【新品首发】电子镁棒零电洗,2021-09-22 11:33:44,安装的特别的好，安装师傅很用心，打孔的时候还用了袋子接着尘土，是装修以来最用心的安装师傅,pos
****r,14645897055,5,60升,【奢华净浴】除氯净水护发柔肤,2020-09-15 18:02:50,外形外观：时尚大气上档次。性价比非常高的一款热水器 当天下单就收到了，安装师傅非常耐心，技术也不错，总体来说非常愉快的购物体验。,pos
不***哥,14904820818,5,60升,【奢华净浴】除氯净水护发柔肤,2020-11-15 08:23:31,外形外观：外观好看时尚和瓷砖百搭 加热速度：加热非常快，不用等时间长，还可以提前加热 耗能情况：这是一种节能新款电热水器用了感觉电费没怎么高 洗浴时间：已经够用的了，一大家够了，加热也快 其他特色：这是新款，里面功能强大，太多功能了,pos
****O,14748439588,5,60升,【高端旗舰】电子镁棒即开即热,2020-10-13 14:58:44,外形外观：造型非常的时尚，符合现代年轻人的视觉效果 加热速度：非常好的一款产品质量很好，加热的速度快 耗能情况：一级能耗的省电模式开启? 洗浴时间：很持久 其他特色：性价比很高，很实惠，使用起来感觉很好，非常完美.^?^.京东商城购物方便快捷，快递给力！大品牌值得信赖！安装售后服务态度很好,pos
谢***生,15037429358,5,60升,【新品首发】电子镁棒零电洗,2020-12-13 07:27:47,外形外观：外观偏年轻化，时尚，超级好看 加热速度：加热速度很快，双胆速热，好评 耗能情况：一级能耗，省电 其他特色：美的热水器知名度很高，口碑很好，产品品质可靠，安全性能很高，杜绝了漏电的安全隐患；相对燃气热水器来讲，没有燃气泄露，或一氧化碳中毒之类的安全隐患，因而具有更卓越的安全性能。,pos
棒***8,16081084097,5,60升,【高端旗舰】电子镁棒即开即热,2021-08-03 19:09:08,产品新颖很满意，做工真的非常棒，真心不错值得入手，宝贝收到了 很满意 ，一定会推荐朋友用的，样子也比较时尚，节能省电质量可靠性能优秀，够大用着，看到整体包装精美，干活认真仔细，用起来很舒服，喜欢，包装完整，完全超出期望值，外观很漂亮，宝贝收到了，看着很漂亮，爱啦爱啦，安装小哥态度极其好，,pos
倾***旭,15962050708,5,60升,【高端旗舰】电子镁棒即开即热,2021-07-10 23:05:09,一款实实在在的好产品。不仅仅是从颜值，品牌，品质，售后，各个方面都体现出了产品的定位和对顾客的贴心。物流速度也是一如既往的快，安装师傅操作的过程非常的流畅，安装时间也很短。,pos
唐***乜,15885345020,5,60升,【新品首发】电子镁棒零电洗,2021-06-28 20:30:04,美的的东西肯定是特别放心。重点夸一下安装师傅。师傅特别认真负责。安装的既美观又结实。安装完还帮着清理垃圾。果然大品牌的员工也如此优秀！,pos
j***0,16605257731,5,80升,【超级新品】电子镁棒涡旋速热,2021-11-09 12:59:54,美的电热水器外观不错，很大气的，加热速度也很快。,neg
a***7,16604320334,5,80升,【超级新品】电子镁棒涡旋速热,2021-11-09 10:34:14,热水器收到了对比旧款非常不错，安装师傅也非常准时负责安装完成。,pos
b***2,15077171652,5,80升,【新品首发】电子镁棒零电洗,2020-12-21 15:54:13,送货速度非常快，双十二下单，第二天就送来了。预约安装也很方便，隔天就有技术员上门，安装挺专业的，一个人把机器整上去，还贴心的推荐了过滤器，延长使用寿命，也使水质更健康。现在使用效果满意，用水自动断电感觉安全有保障，还支持～,pos
为***呢,14956070680,5,60升,【高端旗舰】电子镁棒即开即热,2020-11-24 17:09:48,热水器已收到，对京东购物体验还是非常满意的，热水器外观颜值挺高，可以控制，还有无线遥控，非常方便，也可以在智慧屏上控制，这样使用起来还是非常方便的。特别值得一提的是安装师傅服务态度特别好，主动打电话预约安装时间，安装很及时。,pos
u***d,15171961360,5,60升,【高端旗舰】电子镁棒即开即热,2021-01-09 10:37:43,用了一段时间才来评价的   首先是发货很快 对快递小哥满意 再者是安装师傅服务到位  商品好看  功能齐全  出水断电  特别是可以手机控制很是方便  总之来说各方面都很满意的,pos
k***1,14847995729,5,60升,【新品首发】电子镁棒零电洗,2020-11-05 17:59:45,外观设计美观，而且出水断电安全放心，变频加热速热，智能杀菌，健康呵护肌肤，手机遥控方便快捷，非常满意。京东物流配送服务超好。,pos
6***6,16396376634,5,60升,【内胆免清洗】电子镁棒零电洗,2021-10-01 21:49:36,家里原来的就是美的的热水器用了年，老化漏水了。京东电器值得信赖，我家大小的家电基本在京东购买，送货及时，现场验货，安装师傅第一时间联系我们，进户安装，非常好，点赞点赞点赞！,pos
我***e,16574214036,5,60升,??【黑科技】电子镁棒零电洗,2021-11-04 16:22:59,已经收到货了，实物很好看，暂时还没安装，期待安装后的效果~,pos
s***8,15502495808,5,60升,【新品首发】电子镁棒零电洗,2021-04-05 19:51:30,外形外观：外观低调，功能齐全 加热速度：还没有使用，但是功率在那摆着呢，应该很快。 其他特色：能用手机控制，出水断电很安全，电子镁棒。,pos
****丨,16735156778,5,60升,【超级新品】电子镁棒净垢因子,2021-11-28 10:33:16,安装小哥哥很热情，服务很好，很快就装好了，马上就可用了。,pos
****a,16657898297,5,60升,【高端旗舰】电子镁棒涡旋速热,2021-11-16 11:07:05,外观时尚，功能齐全也实用，能远程操控温度，非常方便。安装师傅也很负责，非常满意。推荐购买。,pos
四***才,15432572284,5,60升,【鸿蒙智联】除氯净水护发柔肤,2021-03-17 23:00:22,物流很快，?产品很快就收到了，比想象中还好，不错不错！希望能耐用宝贝和介绍的一样，质感很好，功能强大，用了感觉不错以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！真的很好用，对商品非常满意，属于无限回购款，推荐！精挑细选很久?，最后决定买这一款?，到货后果然没有让我失望，实物很漂亮?，做工很精细?，特别满意?已经收到啦，很不错，还有赠品，性价比太高啦，爱了爱了,pos
r***u,16149309697,5,80升,【奢华净浴】除氯净水护发柔肤,2021-08-17 10:51:46,热水器看着质量就特别好，安装师傅也很负责，确认管路后才负责安装，过程规范，果然是大公司，美的棒棒哒！,pos
-***康,14305664391,5,60升,【高端旗舰】电子镁棒即开即热,2020-06-18 22:42:47,外形外观：外观香槟金色挺好看的，比传统的白色要漂亮很多，很惊艳，然后渐变的显示屏也很漂亮 加热速度：暂时还没安装，等安装后才能知道 耗能情况：一级能耗还是不错的，实际还没有使用应该能省电 其他特色：带遥控器和手机可以控制，这点很方便随时随地控制，还有智能杀菌什么的,pos
不***啦,16594143502,5,60升,??【黑科技】电子镁棒零电洗,2021-11-07 18:23:46,昨天晚上安装师傅来给安装的，非常辛苦，安装很有耐心也很认真，热水器是之前就认真选好的，等到双十一活动时买的，价格也很合适，就是现在家里还在装修中还不能用，等用过之后再来追评,pos
F***3,16671541453,5,60升,??【黑科技】电子镁棒零电洗,2021-11-17 13:52:27,京东很方便，旧机拆了时候，新机送来，很快使师傅就来安装了，师傅很专业，很周到，安装的很快，给京东和师傅点个赞！赞赞赞赞！好,pos
w***m,15115942147,5,60升,【新品首发】电子镁棒零电洗,2020-12-30 21:35:28,热水器收到了非常满意，快递师傅态度很好，包装完好，颜色很满意，送有配件，一个小遥控，热水器可以手动也可以连接，都特别方便。家里人自己安装，安装说明很详细，安装好后直接可以用，很方便，热水器是免更换镁棒，水温上升快速，最低度，最好度，不用等太久，就可以洗澡，值得推荐，值得购买。,pos
f***2,15731620986,5,60升,【高端旗舰】电子镁棒即开即热,2021-05-29 09:21:24,看上去金色的，没有拍出来。 美的售后安装很给力。 安装也都配合客户的需求。 整体看上去不比国外品牌差。 家人速度很快。一个小时就到了设定的度。 希望可以用的更长久一些。,pos
大***n,15058864428,5,60升,【鸿蒙智联】除氯净水护发柔肤,2020-12-17 12:56:55,外观是自己非常喜欢的颜色 期待用后 安装师傅很用心 客服很热情,pos
大***7,16749076460,5,80升,??【黑科技】电子镁棒零电洗,2021-11-30 21:34:52,加热速度很快，开机不一会就能出热水，耗能也少，大容量一家人使用正好！,pos
****8,15436239916,5,80升,【奢华净浴】除氯净水护发柔肤,2021-03-18 22:26:26,感觉很不错，送货速度很快，第一时间有客服联系，东西也很好，有人来上门安装，速度快，效果好，服务一流。,pos
4***1,14655356206,5,60升,【奢华净浴】除氯净水护发柔肤,2020-09-18 10:26:23,"外形外观：高颜值，非常不错，好看， 耗能情况：一级能效不错，估计比二级能效省电， 其他特色：还送个过滤器，非常不错，支持， 下单第天就收到货了，这是美的的新品，还带,非常满意，非常好用，，，， 洗浴时间：加热速度快，嗷嗷的， 加热速度：,比以前的快不少，，，",pos
尚***彤,15766138139,5,80升,【高端旗舰】电子镁棒即开即热,2021-06-05 20:25:32,首先说一下物流，京东物流特别快，送货上门，辛苦师傅了，安装的师傅也特别给力，赞一个，热水器外观很好看，金色很喜欢，特别满意，赞一个,pos
啊***人,15732261415,5,60升,【新品首发】电子镁棒零电洗,2021-05-29 12:05:56,"前天收到了购买的美的热水器,今天师傅上门，觉得操作很方便,很短时间内，水温就达到了度,样式也很美观大方，据说还是智慧型的，可以与手机联网。客服服务态度很好，百问不烦，耐心解答所提出的任何问题。安装师傅的工作很认真细致,怎么安装好，处处为客户着想，美的的服务确实名不虚传，这是我最为满意的一次购物。",pos
小***骏,15440351040,5,60升,【新品首发】电子镁棒零电洗,2021-03-20 06:35:37,安装的师傅很不错挺仔细的，改了一下水管也没有加钱非常满意！加热速度挺快的颜值也挺好看，关键是手机控制真的挺方便的，人再外面就可以控制提前加热，出水断电也挺安全，挺满意的!,pos
半***子,15407397177,5,60升,【新品首发】电子镁棒零电洗,2021-03-11 11:25:29,物流非常不错，超级快，隔天到，东西很不错，外观漂亮，功能强劲，很适合家庭使用，热水超级快，非常好用，值得够买，价格也很合适。,pos
l***g,16587562505,5,80升,??【黑科技】电子镁棒零电洗,2021-11-06 17:43:52,按装专业，师傅主动帮忙解决问题，非常满意！！！,pos
****5,14122891416,5,80升,【高端旗舰】电子镁棒即开即热,2020-05-07 12:32:42,外形外观：比一般的热水器美观一些 加热速度：很好很快 洗浴时间：够一家人用很宽裕 其他特色：售后还行安装确实没有收费，但需要一些材料钱，物流很快，超过我想象。产品很给力，加热速度很快，现在比原来的快很多左右，再也不必为等待烦恼了。人性的设计有多长保护，尤其是进水过滤功能，我觉得非常好。不必担心使用久了要请人清理的麻烦。总之物有所值，性价比很高。,pos
****8,14835337637,5,60升,【新品首发】电子镁棒零电洗,2020-11-03 13:02:03,加热速度： 京东物流很快，今天下单第二天就到了，安装师傅也很快，当天打电话就来安装了并且服务态度给分，客服也非常有耐心，随时问随时回复。美的是老牌子，一直使用值得信赖，外观也非常喜欢，不需要考虑家里的装饰。,pos
质***靠,15130788803,5,60升,【新品首发】电子镁棒零电洗,2021-01-03 19:42:59,老机器功能老化，各种不方便，所以要换个新的。经过仔细筛选，选择了这款，各方面都很满意。师傅安装很专业细心，也很美观，非常满意。,pos
v***e,15056150990,5,60升,【高端旗舰】电子镁棒即开即热,2020-12-16 20:01:58,外形外观：大气，形状紧凑，颜色很好看 加热速度：第一次加热，就觉得挺快的 总体感觉非常喜欢，具体的使用情况，以后再追加 其他特色：可以手机操控，预约时间，开水断电,pos
东***2,15714368225,5,60升,【新品首发】电子镁棒零电洗,2021-05-24 21:43:00,之前用的史密斯，用了年，最后因为内胆清洗原因坏了，所以买的号称免换镁棒，免清洗内胆的美的热水器，用了一个多月了，感觉还行，外观是我喜欢的颜值，纯白色很清新，加热速度也很快，耗能没有办法参照。安装的时候，师傅说其实最好也要年左右清洗一次，所以年后见吧。,pos
u***s,16557374623,5,60升,??【黑科技】电子镁棒零电洗,2021-11-02 08:20:22,样子美观、安装师傅也很用心、主要功能挺好的、出水就断电、还可以调温、美的还是值得信赖、建议购买,pos
****e,14116625820,5,80升,【高端旗舰】电子镁棒即开即热,2020-05-05 19:56:27,外形外观：特别漂亮高端大气上档次，液晶屏清晰很大 加热速度：加热速度很快 耗能情况：一级能效，省电 洗浴时间：沐浴时间长，有超大水量 其他特色：安装师傅按时上门安装，安装很满意，安装完还把卫生打扫了，教了热水器如何使用,pos
****s,16107862349,5,60升,【新品首发】电子镁棒零电洗,2021-08-08 19:26:48,东西不错，特别表扬一下安装的师傅，很负责，安排活儿也灵活，速度快，态度好。,pos
